"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4628","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","1.814030","0","4"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","8","8","161.110825","0","2321"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","1","1","3.170055","0","26"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","1","1","13.593559","0","171"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","1","1","3.000916","0","19"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","1","1","3.565541","0","19"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","1","1","3.132018","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","3","1","5.134025","0","29"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","9","1","26.646805","0","97"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","1","1","3.403354","0","26"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","1","1","3.647146","0","19"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","1","1","3.605801","0","34"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","1","1","111.608261","0","10515"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","1","1","6.877834","0","89"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","1","1","4.671217","0","53"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","10.917176","0","118"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","1","1","3.152996","0","19"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","1","1","2.968183","0","19"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","1","1","22.723234","0","433"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","7.150724","0","26"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","37","1","1","31.357878","0","725"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","37","1","1","30.678278","0","656"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","37","1","1","29.256556","0","406"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","2","2","28.385059","0","371"
"/ControlRig/M_Manip.M_Manip","0","9","1","1","4.401848","0","40"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","9","1","1","4.717426","0","47"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","1","1","2.242143","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","2.423532","0","13"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","1","1","5.333263","0","18"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","6","6","30.029083","5","363"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","53","1","1","186.832520","0","552"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","1","1","5.354269","0","47"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","93","1","1","68.556221","0","1222"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","139","2","1","121.943329","0","2711"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","659","1","1","463.398285","0","38138"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","1","1","18.657038","0","345"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","1","1","2.835372","0","23"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","1","1","2.861636","0","26"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","145","1","1","119.479927","0","3724"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","14","1","1","12.320742","0","84"
"/Game/Characters/Keith/KeithTexutres/BodyAgain.BodyAgain","0","28","1","1","22.880133","0","274"
"/Game/Characters/Keith/KeithTexutres/Clothing.Clothing","0","28","1","1","23.358025","0","274"
"/Game/Characters/Keith/KeithTexutres/Eyes.Eyes","0","28","1","1","22.514172","0","271"
"/Game/Characters/Keith/KeithTexutres/Hair1.Hair1","0","28","1","1","21.492529","0","243"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","1","1","56.198982","0","745"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","1","1","84.507462","0","1299"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","8","8","1048.369141","0","1771"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","24","1","1","130.353134","0","211"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","2","2","17.231966","0","255"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","15","1","1","14.589292","0","103"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","14","1","1","11.443917","0","82"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","14","1","1","10.996515","0","88"
"/Interchange/gltf/M_Sheen.M_Sheen","0","112","4","4","76.706932","0","1279"
"/Interchange/gltf/M_Transmission.M_Transmission","0","108","4","4","579.069824","0","1185"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","1","1","11.201376","0","98"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","14","1","1","10.300383","0","97"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","14","1","1","10.602231","0","106"
"/Game/ThirdPerson/PostProcess/M_Outline.M_Outline","0","6","1","1","2.624366","0","19"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","23","1","1","18.801027","0","150"
"/Game/ThirdPerson/Blueprints/Keypad/Images/panel_and_lights/M_Panel.M_Panel","0","11","3","1","3.913610","0","46"
"/Game/ThirdPerson/Blueprints/Keypad/Images/buttons/M_ButtonBack.M_ButtonBack","0","11","3","1","3.992379","0","32"
